no post filtering 
      mass     tolerance(ppm)      formula            mass delta       time elapsed 
  28.0313001286         1                H4C2  -4.00035560233e-11      0:00:10.473000
   204.08987764        16          O2N2H12C11   3.59989371645e-10      0:00:10.449000
  147.053157783        16            O4N1H9C5  -9.99875737762e-11      0:00:09.596000
  133.037507719        14            O4N1H7C4  -3.79969833375e-10      0:00:09.430000
  92.0473441234         2              O3H8C3    2.0008883439e-11      0:00:09.115000
  376.138284396         9      O5P1S2N1H31C13  -0.000158391920024      0:00:29.690000
  376.138284396         9        O3P2S1N15H24  -3.59657400395e-05      0:00:29.690000
  376.138284396         9         O1N11H14C16  -5.26630003606e-06      0:00:29.690000
  376.138284396         9          O10P4N4H36  -9.49490000153e-05      0:00:29.690000
  376.138284396         9           P9S1N1H51  -0.000209453620016      0:00:29.690000
  376.138284396         9        O1S2N19H18C1   2.82841799617e-05      0:00:29.690000
  376.138284396         9       O8P2S1N8H30C1  -3.06990800141e-05      0:00:29.690000
  376.138284396         9          O6N4H20C17   3.59989371645e-10      0:00:29.690000
  376.138284396         9        O6S2N12H24C2   3.35508399871e-05      0:00:29.690000
  376.138284396         9      O13P2S1N1H36C2  -2.54324199886e-05      0:00:29.690000
  376.138284396         9        O4P4N1H161C1  -0.000675679820006      0:00:29.690000
  376.138284396         9        O11S2N5H30C3   3.88174999557e-05      0:00:29.690000
  376.138284396         9      O2P2S1N5H155C2  -0.000611429900005      0:00:29.690000
  376.138284396         9       O1P5S3N2H45C3  -7.56871199883e-05      0:00:29.690000
  376.138284396         9           N1H145C18  -0.000580730460001      0:00:29.690000
  376.138284396         9         O1P2S7H50C2  -0.000100312900031      0:00:29.690000
  194.080375587        10           O2N4H10C8  -4.39996483692e-10      0:00:09.709000
  25.0078250321        16                H1C2   4.00000033096e-11      0:00:09.283000
