no post filtering 
      mass     tolerance(ppm)      formula            mass delta       time elapsed 
  28.0313001286         1                H4C2  -4.00035560233e-11      0:00:04.392000
  147.053157783        16            O4N1H9C5  -9.99875737762e-11      0:00:04.479000
  133.037507719        14            O4N1H7C4  -3.79969833375e-10      0:00:05.331000
  92.0473441234         2              O3H8C3    2.0008883439e-11      0:00:04.312000
  376.138284396         9        O3P2S1N15H24  -3.59657400395e-05      0:00:09.110000
  376.138284396         9         O1N11H14C16  -5.26630003606e-06      0:00:09.110000
  376.138284396         9          O10P4N4H36  -9.49490000153e-05      0:00:09.110000
  376.138284396         9           P9S1N1H51  -0.000209453620016      0:00:09.110000
  376.138284396         9        O1S2N19H18C1   2.82841799617e-05      0:00:09.110000
  194.080375587        10           O2N4H10C8  -4.39996483692e-10      0:00:04.149000
  25.0078250321        16                H1C2   4.00000033096e-11      0:00:04.599000
