no post filtering 
      mass     tolerance(ppm)      formula            mass delta       time elapsed 
  28.0313001286         1                H4C2  -4.00035560233e-11      0:00:00.711000
   204.08987764        16         O1P2S2H26C3   0.000152221739995      0:00:01.032000
   204.08987764        16          O2N2H12C11   3.59989371645e-10      0:00:01.032000
   204.08987764        16         O2P1N3H15C7   0.000310614020009      0:00:01.032000
   204.08987764        16         O5S1N1H18C5   0.000690744259998      0:00:01.032000
   204.08987764        16         O2P2N4H18C3       0.00062122768      0:00:01.032000
   204.08987764        16            N2H139C3    0.00394983793998      0:00:01.032000
   204.08987764        16       O5P1S1N2H21C1    0.00100135791999      0:00:01.032000
   204.08987764        16           S1N8H12C4   0.000685477600001      0:00:01.032000
   204.08987764        16           P1S1N9H15   0.000996091259992      0:00:01.032000
   204.08987764        16           S3N1H22C6    0.00155914231999      0:00:01.032000
   204.08987764        16           O3P1H17C9       0.00165328468      0:00:01.032000
  147.053157783        16            O4N1H9C5  -9.99875737762e-11      0:00:00.641000
  147.053157783        16         O4P1N2H12C1   0.000310613560004      0:00:00.641000
  147.053157783        16             O2S3H19    0.00155914186001      0:00:00.641000
  147.053157783        16              N5H5C6    0.00133740390001      0:00:00.641000
  133.037507719        14            O4N1H7C4  -3.79969833375e-10      0:00:00.617000
  133.037507719        14           O4P1N2H10   0.000310613280021      0:00:00.617000
  133.037507719        14              N5H3C5       0.00133740362      0:00:00.617000
  92.0473441234         2              O3H8C3    2.0008883439e-11      0:00:00.510000
  376.138284396         9        O3P1N8H148C3    0.00291778094004      0:00:04.745000
  376.138284396         9       P1S1N2H152C11    0.00310070175999      0:00:04.745000
  376.138284396         9       O8P2S1N8H30C1  -3.06990800141e-05      0:00:04.745000
  376.138284396         9       O5P2S2N2H34C9   0.000152221739995      0:00:04.745000
  376.138284396         9          S4N15H26C1  -0.000440721760015      0:00:04.745000
  376.138284396         9              O6H278    0.00656227151995      0:00:04.745000
  376.138284396         9          O6N4H20C17   3.59989371645e-10      0:00:04.745000
  376.138284396         9         O4P7N2H43C2   0.000329068899987      0:00:04.745000
  376.138284396         9      O3P1S1N14H21C4  -0.000346579400002      0:00:04.745000
  376.138284396         9       O2P4S1N5H34C7   8.27051600254e-05      0:00:04.745000
  376.138284396         9        P1S2N8H25C12   -0.00016365858005      0:00:04.745000
  376.138284396         9         O5S6N1H42C4   0.000438209619972      0:00:04.745000
  376.138284396         9          O17N2H28C4   0.000513090100014      0:00:04.745000
  376.138284396         9          P2N1H24C23   0.000113404599972      0:00:04.745000
  376.138284396         9          P3N17H21C2  -0.000416095980029      0:00:04.745000
  376.138284396         9        O6S1N6H151C1    0.00329791117997      0:00:04.745000
  376.138284396         9          O3S2H155C9    0.00348083199998      0:00:04.745000
  376.138284396         9         O8P1S3H37C7   0.000532351979984      0:00:04.745000
  376.138284396         9       O2P2S5N4H42C2   0.000368693039945      0:00:04.745000
  376.138284396         9          O2P5H164C2    0.00365767915997      0:00:04.745000
  376.138284396         9        P2S1N3H155C7    0.00341131541995      0:00:04.745000
  376.138284396         9           O7P6S1H46   0.000709199139976      0:00:04.745000
  376.138284396         9        O6S2N12H24C2   3.35508399871e-05      0:00:04.745000
  376.138284396         9       O5P3S2N3H37C5   0.000462835399958      0:00:04.745000
  376.138284396         9        O3S3N6H28C10   0.000216471659996      0:00:04.745000
  376.138284396         9            S4H32C18   0.000399392479949      0:00:04.745000
  376.138284396         9        O6P1N5H23C13   0.000310614020009      0:00:04.745000
  376.138284396         9        O3P2S1N15H24  -3.59657400395e-05      0:00:04.745000
  376.138284396         9       O2P5S1N6H37C3   0.000393318819931      0:00:04.745000
  376.138284396         9         P2S2N9H28C8    0.00014695507997      0:00:04.745000
  376.138284396         9          S5N2H163C2    0.00369730329999      0:00:04.745000
  376.138284396         9         O5P1S6N2H45   0.000748823279991      0:00:04.745000
  376.138284396         9         O1N11H14C16  -5.26630003606e-06      0:00:04.745000
  376.138284396         9          O17P1N3H31   0.000823703760034      0:00:04.745000
  376.138284396         9          P3N2H27C19   0.000424018259991      0:00:04.745000
  376.138284396         9      O3P1S2N1H158C5       0.00379144566      0:00:04.745000
  376.138284396         9       O8P2S3N1H40C3   0.000842965640004      0:00:04.745000
  376.138284396         9           S6N8H36C3   0.000432942960003      0:00:04.745000
  376.138284396         9          O12N9H22C3   0.000507823439989      0:00:04.745000
  376.138284396         9          O11P3H35C6   0.000937108000016      0:00:04.745000
  376.138284396         9         O1S1N13H145       0.00329264452      0:00:04.745000
  376.138284396         9        O9S1N3H26C11   0.000690744259998      0:00:04.745000
  376.138284396         9        P3S1N4H158C3    0.00372192907997      0:00:04.745000
  376.138284396         9       O5P4S2N4H40C1    0.00077344905992      0:00:04.745000
  376.138284396         9       O3P1S3N7H31C6   0.000527085320016      0:00:04.745000
  376.138284396         9        P1S4N1H35C14   0.000710006139968      0:00:04.745000
  376.138284396         9         O6P2N6H26C9   0.000621227679972      0:00:04.745000
  376.138284396         9        O3P2S1H30C17   0.000804148499981      0:00:04.745000
  376.138284396         9        O1S2N19H18C1   2.82841799617e-05      0:00:04.745000
  376.138284396         9        P3S2N10H31C4   0.000457568739989      0:00:04.745000
  376.138284396         9       O1P1N12H17C12   0.000305347359983      0:00:04.745000
  376.138284396         9          P4N3H30C15   0.000734631919954      0:00:04.745000
  376.138284396         9      O3P2S2N2H161C1    0.00410205931996      0:00:04.745000
  376.138284396         9         O6S4N5H34C4   0.000907215560005      0:00:04.745000
  376.138284396         9          O4N4H147C9    0.00394983794001      0:00:04.745000
  376.138284396         9        O11P4N1H38C2    0.00124772166004      0:00:04.745000
  376.138284396         9       O9P1S1N4H29C7    0.00100135792002      0:00:04.745000
  376.138284396         9       O3P2S3N8H34C2   0.000837698979979      0:00:04.745000
  376.138284396         9        P2S4N2H38C10    0.00102061979999      0:00:04.745000
  376.138284396         9          O7N16H16C2    0.00050255678002      0:00:04.745000
  376.138284396         9         O6P3N7H29C5   0.000931841339991      0:00:04.745000
  376.138284396         9       O4S1N10H20C10   0.000685477599973      0:00:04.745000
  376.138284396         9      O3P3S1N1H33C13       0.00111476216      0:00:04.745000
  376.138284396         9          O1S2H282C1       0.00743066958      0:00:04.745000
  376.138284396         9        O1S2N4H24C18   0.000868398419982      0:00:04.745000
  376.138284396         9          P4S2N11H34   0.000768182399952      0:00:04.745000
  376.138284396         9           S8N1H46C5    0.00130660767996      0:00:04.745000
  376.138284396         9        O1P2N13H20C8   0.000615961019946      0:00:04.745000
  376.138284396         9          P5N4H33C11    0.00104524557997      0:00:04.745000
  376.138284396         9        O12S2N2H32C5    0.00138148815995      0:00:04.745000
  376.138284396         9        O1S3N6H155C2    0.00416630923996      0:00:04.745000
  376.138284396         9         O6P1S4N6H37    0.00121782921991      0:00:04.745000
  376.138284396         9         O3P1S5H41C8    0.00140075003998      0:00:04.745000
  376.138284396         9        O4P1N5H150C5    0.00426045159998      0:00:04.745000
  376.138284396         9       O9P2S1N5H32C3    0.00131197157998      0:00:04.745000
  376.138284396         9         O2P6S3H50C1    0.00157759719997      0:00:04.745000
  376.138284396         9        O1S4N12H28C3   0.000901948900037      0:00:04.745000
  376.138284396         9         P3S4N3H41C6    0.00133123346001      0:00:04.745000
  376.138284396         9          O7N1H22C19    0.00134267101998      0:00:04.745000
  376.138284396         9         O6P4N8H32C1    0.00124245499995      0:00:04.745000
  376.138284396         9      O4P1S1N11H23C6   0.000996091259935      0:00:04.745000
  376.138284396         9       O3P4S1N2H36C9    0.00142537581996      0:00:04.745000
  376.138284396         9      O1P1S2N5H27C14       0.00117901208      0:00:04.745000
