no post filtering 
      mass     tolerance(ppm)      formula            mass delta       time elapsed 
  522.537581494         2       O3P1N13H69C16   0.000813170079937      0:00:11.112000
  522.537581494         2          O19P2N5H86    0.00164214014001      0:00:11.112000
  522.537581494         2          O2P4H340C2    0.00780472579993      0:00:11.112000
  522.537581494         2        O2P4N4H82C19    0.00124245463996      0:00:11.112000
  522.537581494         2        O1P8N11H92C1    0.00114223861999      0:00:11.112000
  522.537581494         2         P11N2H105C4     0.0015715231799      0:00:11.112000
  522.537581494         2        P1S1N3H331C7    0.00755836205997      0:00:11.112000
  522.537581494         2        P1S1N7H73C24   0.000996090899889      0:00:11.112000
  522.537581494         2        P2S1N23H70C3   0.000466590320002      0:00:11.112000
  522.537581494         2          O7P5S1H222    0.00485624577993      0:00:11.112000
  522.537581494         2      O5P2S2N3H213C5    0.00460988203986      0:00:11.112000
  522.537581494         2         O11S3N12H82    0.00123211745995      0:00:11.112000
  522.537581494         2      O10P3S3N3H95C3    0.00166140201998      0:00:11.112000
  522.537581494         2         O8S4N6H86C8     0.0014150382799      0:00:11.112000
  522.537581494         2          O5S5H90C16    0.00159795909985      0:00:11.112000
  522.537581494         2      O2P1S6N10H91C3    0.00125137933992      0:00:11.112000
  522.537581494         2      O1P4S6N1H104C6    0.00168066390006      0:00:11.112000
  522.537581494         2         O6N5H199C13    0.00445766065991      0:00:11.112000
  522.537581494         2       O14P1N11H77C3    0.00132625981996      0:00:11.112000
  522.537581494         2        O13P4N2H90C6    0.00175554437988      0:00:11.112000
  522.537581494         2       O3P1S1N15H200    0.00411108089997      0:00:11.112000
  522.537581494         2     O11P1S1N5H81C11    0.00150918064003      0:00:11.112000
  522.537581494         2      O2P4S1N6H213C3    0.00454036545989      0:00:11.112000
  522.537581494         2        P1S2N9H204C8    0.00429400171993      0:00:11.112000
  522.537581494         2       O7P5S2N6H95C1    0.00159188543989      0:00:11.112000
  522.537581494         2       O5P2S3N9H86C6    0.00134552169993      0:00:11.112000
  522.537581494         2         O4P5S3H99C9    0.00177480625985      0:00:11.112000
  522.537581494         2      O2P2S4N3H90C14    0.00152844251988      0:00:11.112000
  522.537581494         2          O5S6N2H221    0.00489586991989      0:00:11.112000
  522.537581494         2       O1P2S10H112C1    0.00196665177998      0:00:11.112000
  522.537581494         2          O9N17H68C6    0.00101037949992      0:00:11.112000
  522.537581494         2           O17N3H207    0.00497075039993      0:00:11.112000
  522.537581494         2         P2N2H203C19    0.00457106489989      0:00:11.112000
  522.537581494         2         O8P3N8H81C9    0.00143966405994      0:00:11.112000
  522.537581494         2       O6S1N11H72C14    0.00119330031998      0:00:11.112000
  522.537581494         2      O5P3S1N2H85C17     0.0016225848799      0:00:11.112000
  522.537581494         2       O3P10S1H108C2    0.00195165341995      0:00:11.112000
  522.537581494         2        O3S2N1H334C5     0.0079384922999      0:00:11.112000
