no post filtering 
      mass     tolerance(ppm)      formula            mass delta       time elapsed 
  522.537581494         2       O11P1S2H214C3   -0.00106088094003      0:00:47.552000
  522.537581494         2        O1S4N4H82C20  -0.000435455460092      0:00:47.552000
  522.537581494         2         O2N17H191C5  -0.000913021980068      0:00:47.552000
  522.537581494         2          O18N6H78C6  -0.000321757840084      0:00:47.552000
  522.537581494         2        O2P3S1H339C2   -0.00171112834005      0:00:47.552000
  522.537581494         2      O1P3S2N14H81C6  -0.000377279200052      0:00:47.552000
  522.537581494         2       O8P5S1N3H93C6  -0.000436262460084      0:00:47.552000
  522.537581494         2        O1S6N12H86C5  -0.000401904980095      0:00:47.552000
  522.537581494         2       O8P2S5N1H98C5  -0.000460888240013      0:00:47.552000
  522.537581494         2        P1S2N4H333C3   -0.00164687842005      0:00:47.552000
  522.537581494         2         O7N10H197C6    -0.0009077553201      0:00:47.552000
  522.537581494         2       O6P3S2N7H87C7  -0.000372012540083      0:00:47.552000
  522.537581494         2      O4P1S1N3H77C23   -0.00034131310008      0:00:47.552000
  522.537581494         2         O6S6N5H92C6  -0.000396638320126      0:00:47.552000
  522.537581494         2      O4P1S3N11H81C8  -0.000307762620082      0:00:47.552000
  522.537581494         2         O12N3H203C7  -0.000902488660131      0:00:47.552000
  522.537581494         2        O11P3S2H93C8  -0.000366745880001      0:00:47.552000
  522.537581494         2       O2P2N17H70C10  -0.000218886920038      0:00:47.552000
  522.537581494         2        O2P5S1H218C7   -0.00101699328002      0:00:47.552000
  522.537581494         2       O9P1S3N4H87C9  -0.000302495960113      0:00:47.552000
  522.537581494         2          O1N7H322C7   -0.00148848614003      0:00:47.552000
  522.537581494         2         S1N21H64C11  -0.000154637000037      0:00:47.552000
  522.537581494         2        P3S2N4H212C8  -0.000952743360017      0:00:47.552000
  522.537581494         2       O7P2N10H76C11   -0.00021362026007      0:00:47.552000
  522.537581494         2          S6N2H217C7   -0.00097736914006      0:00:47.552000
  522.537581494         2            O6H328C8   -0.00148321948006      0:00:47.552000
  522.537581494         2       O5S1N14H70C12  -0.000149370340068      0:00:47.552000
  522.537581494         2       O12P2N3H82C12  -0.000208353600101      0:00:47.552000
  522.537581494         2        O2P7S1H97C12  -0.000322858220102      0:00:47.552000
  666.221858414         2         O4P2N18H286   -0.00138561524011      0:02:57.056000
  666.221858414         2       O20P2N7H173C1  -0.000794351100012      0:02:57.056000
  666.221858414         2      O3P2S1N32H28C4  -5.17661000003e-05      0:02:57.056000
  666.221858414         2    O10P1S2N11H41C18  -0.000168925620073      0:02:57.056000
  666.221858414         2     O3P5S2N15H176C1  -0.000849872460094      0:02:57.056000
  666.221858414         2      O19P5S2N4H63C2  -0.000258608320109      0:02:57.056000
  666.221858414         2       O1S3N1H167C31  -0.000877349280017      0:02:57.056000
  666.221858414         2      O2P8S4N12H66C2  -0.000314129679964      0:02:57.056000
  666.221858414         2       O12S7N13H56C1  -0.000224250840006      0:02:57.056000
  666.221858414         2       O2P2S10H72C15  -0.000396931720047      0:02:57.056000
  666.221858414         2         O1N28H18C20  -2.10666601106e-05      0:02:57.056000
  666.221858414         2       O10P4N21H40C4  -0.000110749360147      0:02:57.056000
  666.221858414         2    O1P3S1N11H166C17  -0.000819173020091      0:02:57.056000
  666.221858414         2       O17P3S1H53C18  -0.000227908879992      0:02:57.056000
  666.221858414         2     O10P7S1N4H188C1  -0.000908855720127      0:02:57.056000
  666.221858414         2        P6S3N8H56C18  -0.000283430240074      0:02:57.056000
  666.221858414         2      O9P10S3N1H78C2  -0.000373112939997      0:02:57.056000
  666.221858414         2       O3P2S6N13H181  -0.000874498240137      0:02:57.056000
  666.221858414         2      O19P2S6N2H68C1  -0.000283234099925      0:02:57.056000
  666.221858414         2      O2P5S8N10H71C1  -0.000338755460007      0:02:57.056000
  666.221858414         2         O8P5H178C17  -0.000878156280123      0:02:57.056000
  666.221858414         2          O1P9N4H313   -0.00155910312014      0:02:57.056000
  666.221858414         2        P9S1N18H55C4  -0.000225253980147      0:02:57.056000
  666.221858414         2       P12S2N1H203C1   -0.00102336034001      0:02:57.056000
  666.221858414         2     O10P1S4N19H45C3  -0.000135375140076      0:02:57.056000
  666.221858414         2       O1S5N9H171C16  -0.000843798800133      0:02:57.056000
  666.221858414         2       O10P4S5N2H193  -0.000933481500056      0:02:57.056000
  666.221858414         2        P3S7N6H61C17  -0.000308056020003      0:02:57.056000
  666.221858414         2        O2P2S12N8H76  -0.000363381240049      0:02:57.056000
  666.221858414         2        O7P11N7H67C4  -0.000284237240066      0:02:57.056000
  666.221858414         2       O2S1N22H280C1   -0.00132136532011      0:02:57.056000
  666.221858414         2      O18S1N11H167C2  -0.000730101180125      0:02:57.056000
